[2022-04-26 16:50:32.771] [info]  [db] Initialized DB client
[2022-04-26 16:50:33.373] [info]  [FileSystemDriver] Initialized in "/home/george/.config/Insomnia/version-control"
[2022-04-26 16:50:33.401] [info]  [ga] Event Activity, Change, debug
[2022-04-26 16:50:33.401] [info]  [ga] Page /debug
[2022-04-26 16:50:43.401] [info]  [ga] Event Modals, Show, PromptModal
[2022-04-26 16:50:51.409] [info]  [ga] Event Modals, Show, PromptModal
[2022-04-26 16:51:03.776] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:51:03.992] [info]  [net] Set CA to /tmp/insomnia_2021.4.1/ca-certs.pem
[2022-04-26 16:51:04.198] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=404
[2022-04-26 16:51:48.685] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:52:46.392] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:52:47.686] [info]  [network] Response failed req=req_fae4cdea9566420fa733a381ee7e96dd err=Request was cancelled
[2022-04-26 16:52:54.626] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:52:55.349] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:53:04.987] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:53:05.324] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:53:19.207] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:53:19.530] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:53:29.493] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:53:29.849] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:53:41.880] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:53:42.339] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:53:57.685] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:54:20.686] [info]  [network] Response failed req=req_fae4cdea9566420fa733a381ee7e96dd err=Request was cancelled
[2022-04-26 16:54:24.023] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:57:09.128] [info]  [network] Response failed req=req_fae4cdea9566420fa733a381ee7e96dd err=Request was cancelled
[2022-04-26 16:57:54.870] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:57:55.498] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:58:01.111] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:58:01.424] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
[2022-04-26 16:58:03.521] [info]  [network] Sending req=req_fae4cdea9566420fa733a381ee7e96dd env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-26 16:58:03.824] [info]  [network] Response succeeded req=req_fae4cdea9566420fa733a381ee7e96dd status=500
