[2022-04-19 13:28:00.126] [info]  [db] Initialized DB client
[2022-04-19 13:28:00.859] [info]  [FileSystemDriver] Initialized in "/home/george/.config/Insomnia/version-control"
[2022-04-19 13:28:00.888] [info]  [ga] Event Activity, Change, debug
[2022-04-19 13:28:00.889] [info]  [ga] Page /debug
[2022-04-19 13:28:46.555] [info]  [ga] Event Modals, Show, RequestCreateModal
[2022-04-19 13:28:49.908] [info]  [ga] Event Request, Create
[2022-04-19 13:28:51.946] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:28:52.214] [info]  [net] Set CA to /tmp/insomnia_2021.4.1/ca-certs.pem
[2022-04-19 13:28:52.425] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=404
[2022-04-19 13:36:13.139] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:36:13.397] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=404
[2022-04-19 13:36:58.019] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:36:58.604] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=500
[2022-04-19 13:37:37.133] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:38:07.296] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=500
[2022-04-19 13:38:25.744] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:38:26.241] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=500
[2022-04-19 13:38:27.816] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:38:28.189] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=500
[2022-04-19 13:38:35.787] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:38:36.057] [info]  [network] Response succeeded req=req_df6866ce8ac04ad2a566b8827ed6de35 status=500
[2022-04-19 13:38:50.999] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:40:41.548] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
[2022-04-19 13:40:59.133] [info]  [network] Sending req=req_df6866ce8ac04ad2a566b8827ed6de35 env=env_1dc09a29d219625e7c362164bf1676dd0a778782
